date,platform,asset,action,status,url,impressions,likes,comments,reposts,clicks,replies,notes
2026-06-20,linkedin,anchor-post,publish,posted,https://www.linkedin.com/feed/update/urn:li:activity:7474074950476382208/,233,2,1,0,,,"Published via local browser; first comment edited to LinkedIn UTM link; 233 visible impressions at 2026-06-22T13:24:46+05:30; first comment showed 28 impressions; profile viewers stayed 28"
2026-06-20,linkedin,document-carousel,publish-attempt,blocked_file_upload,,,,,,,"Caption prefilled; LinkedIn did not expose a browser-accessible PDF upload input, so carousel was not published"
2026-06-20,x,thread,publish,posted,https://x.com/ruchitdalwadi/status/2068304482589650946,105,2,2,1,,2,"Root tweet at 105 visible views as of 2026-06-22T13:24:46+05:30; link reply posted at https://x.com/ruchitdalwadi/status/2068304756179931420; Luke Sophinos remains the only verified response; Luke reply view count showed 26 in notifications"
2026-06-20,linkedin,pre-launch-comments,comment,pending,,,,,,,"5 comments before anchor post"
2026-06-20,x,post-launch-replies,reply_batch,posted,,,,,,,"Batch A posted: https://x.com/ruchitdalwadi/status/2068375965752021269 https://x.com/ruchitdalwadi/status/2068376145280839822 https://x.com/ruchitdalwadi/status/2068376187139948849 https://x.com/ruchitdalwadi/status/2068376227967304132 https://x.com/ruchitdalwadi/status/2068376269579055580"
2026-06-20,x,post-launch-replies-batch-b,reply_batch,posted,,,,,,,"Batch B posted under live GTM/AI-agent conversations: https://x.com/ruchitdalwadi/status/2068379658677256638 https://x.com/ruchitdalwadi/status/2068379782845550763"
2026-06-20,x,post-launch-replies-batch-c,reply_batch,posted,,,,,,,"Batch C posted under live AI-agent GTM/founder-led-sales conversations: https://x.com/ruchitdalwadi/status/2068380961314914786 https://x.com/ruchitdalwadi/status/2068380996974895157"
2026-06-20,x,standalone-1,draft,ready,,,,,,,"Post day +1"
2026-06-20,x,paid-pilot-followup,draft,ready,,,,,,,"Prepared in copy-ready/x-paid-pilot-followup.txt; publish only if engagement batches stay quiet at the next meaningful checkpoint"
2026-06-21,x,horizontal-gpt-followup,draft,ready,,,,,,,"Prepared in copy-ready/x-horizontal-gpt-followup.txt from Luke Sophinos's horizontal GPT objection; publish only after explicit approval"
2026-06-21,x,horizontal-gpt-link-reply,draft,ready,,,,,,,"Prepared in copy-ready/x-horizontal-gpt-link-reply.txt; add only after explicit approval and preferably after native post engagement"
2026-06-21,x,horizontal-gpt-engagement-queue,draft,ready,,,,,,,"Prepared in horizontal-gpt-engagement-queue-2026-06-21.md from live X searches; post only after explicit approval and live target recheck"
2026-06-20,x,standalone-2,draft,ready,,,,,,,"Post day +2"
2026-06-20,x,standalone-3,draft,ready,,,,,,,"Post day +3 to +7"
2026-06-20,linkedin,standalone-2,draft,ready,,,,,,,"Use only if anchor post slows"
2026-06-21,linkedin,horizontal-gpt-followup,draft,ready,,,,,,,"Prepared in copy-ready/linkedin-horizontal-gpt-followup.txt from Luke Sophinos's horizontal GPT objection; publish only after explicit approval"
2026-06-21,linkedin,horizontal-gpt-first-comment,draft,ready,,,,,,,"Prepared in copy-ready/linkedin-horizontal-gpt-first-comment.txt; add only after explicit approval and after the LinkedIn follow-up is live"
2026-06-21,linkedin,horizontal-gpt-engagement-queue,draft,ready,,,,,,,"Prepared in linkedin-horizontal-gpt-engagement-queue-2026-06-21.md from live LinkedIn searches; post only after explicit approval and live target recheck"
2026-06-21,campaign,next-approval-bundle,draft,ready,,,,,,,"Prepared in next-approval-bundle.md; recommends approving Luke reply first"
2026-06-21,campaign,luke-reply-runbook,draft,ready,,,,,,,"Prepared in luke-reply-execution-runbook.md; exact execution and logging steps for approved Luke reply"
2026-06-22,campaign,high-engagement-commenting-playbook,draft,ready,,,,,,,"Prepared in high-engagement-commenting-playbook.md; shifts primary rescue lever to comments/replies inside already-active LinkedIn and X posts"
2026-06-22,campaign,high-engagement-scout-queue,draft,ready,,,,,,,"Prepared in high-engagement-scout-queue-2026-06-22.md; ranked target map for LinkedIn/X high-engagement scouting before any approved comment batch"
